keyword,gender,age,country,region,level
贝灵哲/beringer,f,9999,其他,其他,B
威龙/wilon,f,9999,北京,朝阳区,A
玛茜/rochemazet,f,9999,北京,东城区,C
玛茜/rochemazet,f,9999,北京,东城区,C
玛茜/rochemazet,f,9999,北京,东城区,C
罗莎庄园,f,39,海外,澳大利亚,C
红魔鬼/casillero del diablo,m,50,广东,广州,B
巴黎庄园/cmp,f,9999,其他,其他,C
尼德堡,f,9999,其他,其他,B
加州乐事,f,30,广东,湛江,B
加州乐事,f,30,广东,湛江,B
葡乐/taller wine,f,9999,广东,深圳,A
木桐嘉棣/mouton cadet,m,37,陕西,西安,B
罗蒂/laudi,m,37,四川,成都,A
巴黎庄园/cmp,m,32,河南,信阳,C
玛茜/rochemazet,f,30,安徽,淮南,C
爱之湾/andimar ,m,9999,其他,其他,B
汉森/hansen,m,46,北京,其他,A
威龙/wilon,f,9999,浙江,金华,A
葡乐/taller wine,f,9999,广东,深圳,A
威龙/wilon,m,33,广东,其他,A
音符/awjs,f,9999,湖北,武汉,B
玛茜/rochemazet,f,9999,北京,东城区,C
璞立/beaulieu vineyard,m,9999,山东,烟台,B
拉图嘉利,f,9999,上海,浦东新区,B
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
葡乐/taller wine,f,9999,广东,深圳,A
首彩/handpicked,m,9999,海外,其他,A
蒙特斯/montes ,m,32,广东,佛山,A
卡思黛乐/castel,f,31,海外,美国,B
葡乐/taller wine,f,9999,广东,深圳,A
作品一号/opus one,m,9999,其他,其他,A
杰卡斯/jacob’s creek,f,9999,广东,其他,B
香奈/j.p.chenet ,f,9999,天津,河西区,A
杰卡斯/jacob’s creek,m,9999,其他,其他,B
红魔鬼/casillero del diablo,m,9999,其他,其他,B
作品一号/opus one,m,9999,北京,其他,A
作品一号/opus one,m,9999,其他,其他,A
酩悦/moet&amp;chandon,m,9999,广东,汕头,A
葡乐/taller wine,f,9999,广东,深圳,A
紫轩,m,31,河南,洛阳,C
紫轩,m,31,河南,洛阳,C
紫轩,m,31,河南,洛阳,C
红魔鬼/casillero del diablo,m,9999,其他,其他,B
小龙船,f,25,广东,广州,A
卡思黛乐/castel,m,9999,浙江,温州,B
红魔鬼/casillero del diablo,m,9999,江苏,常州,B
西施佳雅,f,9999,其他,其他,A
云南红,m,9999,云南,昆明,A
小龙船,f,9999,北京,海淀区,A
云南红,m,9999,云南,玉溪,A
卡思黛乐/castel,f,31,海外,美国,B
威龙/wilon,f,9999,其他,其他,A
云南红,m,9999,其他,其他,A
巴黎庄园/cmp,m,29,湖北,武汉,C
新天/suntime,f,9999,其他,其他,C
莱茵黑森,m,9999,其他,其他,A
长白山 ,f,9999,上海,长宁区,A
葡乐/taller wine,f,9999,广东,深圳,A
干露/concha y toro ,m,31,广东,广州,B
威龙/wilon,f,9999,其他,其他,A
罗莎庄园,m,9999,山东,青岛,C
罗莎庄园,m,41,海外,澳大利亚,C
爱之湾/andimar ,m,30,广东,深圳,B
黄尾袋鼠/yellow tail,m,30,广东,深圳,B
路易亚都世家/louis jadot ,f,9999,其他,其他,C
葡乐/taller wine,f,9999,广东,深圳,A
菲斯奈特/freixenet,f,9999,海外,德国,C
音符/awjs,m,9999,其他,其他,B
葡乐/taller wine,f,9999,广东,深圳,A
酩悦/moet&amp;chandon,f,9999,其他,其他,A
玛歌酒庄/chateau margaux,f,27,其他,其他,B
华东/huadong,f,9999,上海,闵行区,C
蒙特斯/montes ,f,9999,其他,其他,A
天阶/babylonstoren,f,9999,北京,其他,A
卡思黛乐/castel,m,9999,其他,其他,B
华东/huadong,m,9999,其他,其他,C
罗莎庄园,m,41,海外,澳大利亚,C
玛歌酒庄/chateau margaux,m,9999,其他,其他,B
伊拉苏,m,36,云南,其他,A
首彩/handpicked,m,9999,海外,其他,A
玛茜/rochemazet,m,9999,浙江,嘉兴,C
音符/awjs,m,9999,其他,其他,B
爱之湾/andimar ,f,32,北京,东城区,B
天鹅庄,m,9999,北京,朝阳区,C
名庄靓年,m,9999,其他,其他,A
音符/awjs,m,5,吉林,长春,B
名庄靓年,m,9999,广东,广州,A
加州乐事,m,9999,上海,其他,B
布朗兄弟酒庄/brown brothers,m,9999,其他,其他,A
布朗兄弟酒庄/brown brothers,m,9999,其他,其他,A
活灵魂/almaviva,f,32,浙江,绍兴,B
罗马假日,m,9999,其他,其他,D
集美,m,9999,其他,其他,A
路易亚都世家/louis jadot ,m,9999,其他,其他,C
香奈/j.p.chenet ,m,9999,其他,其他,A
洛神山庄,m,58,广东,广州,A
罗马假日,m,9999,四川,其他,D
汉森/hansen,m,9999,其他,其他,A
路易亚都世家/louis jadot ,f,9999,上海,静安区,C
名庄靓年,f,9999,上海,静安区,A
尼德堡,m,9999,河北,其他,B
爱之湾/andimar ,m,9999,江苏,盐城,B
若诗庄园/rosemount,m,9999,广东,深圳,B
红蔓庄园/tarapaca,f,9,山东,烟台,B
西施佳雅,f,9999,广东,其他,A
集美,f,9999,其他,其他,A
云南红,f,9999,其他,其他,A
集美,f,9999,北京,朝阳区,A
音符/awjs,m,9999,其他,其他,B
奔富蔻兰山/koonunga hill,f,6,广东,清远,C
罗莎庄园,m,9999,其他,其他,C
tamaya,m,30,山东,济南,C
卡思黛乐/castel,m,32,江西,其他,B
红魔鬼/casillero del diablo,m,9999,北京,朝阳区,B
音符/awjs,f,9999,北京,大兴区,B
类人首,m,9999,其他,其他,A
黄尾袋鼠/yellow tail,m,9999,辽宁,其他,B
巴黎庄园/cmp,f,9999,河南,信阳,C
卓林/zonin,f,9999,其他,其他,A
红魔鬼/casillero del diablo,m,9999,江苏,常州,B
紫轩,m,9999,其他,其他,C
汉森/hansen,m,9999,香港,其他,A
作品一号/opus one,m,53,广东,深圳,A
玛歌酒庄/chateau margaux,m,9999,辽宁,大连,B
黄尾袋鼠/yellow tail,m,9999,广东,广州,B
高斯达,m,9999,其他,其他,C
百特/beleden,f,9999,江苏,南京,B
拉图嘉利,m,9999,广东,深圳,B
小龙船,m,9999,贵州,贵阳,A
蒙特斯/montes ,m,9999,北京,海淀区,A
罗马假日,m,9999,其他,其他,D
玛茜/rochemazet,m,28,广东,广州,C
爱之湾/andimar ,m,32,湖北,武汉,B
双洋/two oceans,m,9999,北京,西城区,B
华东/huadong,f,9999,其他,其他,C
君顶,m,9999,上海,静安区,D
新天/suntime,m,9999,上海,其他,C
杰卡斯/jacob’s creek,m,9999,海外,澳大利亚,B
红魔鬼/casillero del diablo,f,9999,北京,西城区,B
蒙特斯/montes ,f,25,湖北,荆州,A
力士金,f,9999,广东,广州,B
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
玛茜/rochemazet,f,9999,新疆,乌鲁木齐,C
百特/beleden,m,9999,其他,其他,B
云南红,f,32,云南,红河,A
玛茜/rochemazet,f,9999,广东,深圳,C
华东/huadong,f,9999,其他,其他,C
玛茜/rochemazet,f,9999,广东,广州,C
罗马假日,f,5,北京,其他,D
小红帽/rotkappchen ,m,9999,四川,其他,A
木桐嘉棣/mouton cadet,f,9999,北京,朝阳区,B
威龙/wilon,m,9999,其他,其他,A
威龙/wilon,f,9999,河南,郑州,A
贺兰山,f,9999,其他,其他,A
卡思黛乐/castel,m,9999,其他,其他,B
卡思黛乐/castel,f,9999,其他,其他,B
作品一号/opus one,f,9999,其他,其他,A
拿戈卢/la gloire,f,9999,辽宁,营口,A
干露/concha y toro ,m,27,北京,东城区,B
小红帽/rotkappchen ,f,9999,其他,其他,A
威龙/wilon,f,9999,浙江,温州,A
百特/beleden,f,9999,江苏,南京,B
红魔鬼/casillero del diablo,m,50,广东,广州,B
玛茜/rochemazet,f,27,福建,莆田,C
罗莎庄园,m,41,海外,澳大利亚,C
爱之湾/andimar ,f,9999,其他,其他,B
君顶,m,9999,其他,其他,D
君顶,m,9999,其他,其他,D
君顶,m,9999,其他,其他,D
黄尾袋鼠/yellow tail,f,9999,山东,济南,B
红魔鬼/casillero del diablo,m,9999,北京,东城区,B
玛茜/rochemazet,m,27,广东,佛山,C
汉森/hansen,m,9999,其他,其他,A
音符/awjs,m,9999,其他,其他,B
小红帽/rotkappchen ,m,9999,其他,其他,A
金蝴蝶/golden butterfly face,f,9999,广东,佛山,C
小龙船,f,9999,广东,湛江,A
通天,m,9999,香港,其他,B
作品一号/opus one,f,9999,其他,其他,A
作品一号/opus one,f,9999,上海,其他,A
君顶,m,9999,山东,烟台,D
洛神山庄,f,9999,其他,其他,A
音符/awjs,f,9999,四川,成都,B
红蔓庄园/tarapaca,m,9999,其他,其他,B
音符/awjs,m,45,湖南,其他,B
云南红,f,9999,云南,昆明,A
西施佳雅,m,9999,海外,澳大利亚,A
佳得美庄园/chateau cantemerle,m,9999,广东,深圳,B
集美,f,9999,北京,东城区,A
玛茜/rochemazet,f,20,广东,广州,C
爱之湾/andimar ,m,9999,北京,海淀区,B
玛茜/rochemazet,f,32,北京,朝阳区,C
君顶,f,28,江西,赣州,D
卡思黛乐/castel,m,9999,其他,其他,B
卡思黛乐/castel,m,9999,其他,其他,B
卡思黛乐/castel,m,9999,其他,其他,B
贺兰山,m,50,广东,广州,A
奥斯曼/aosiman,m,9999,其他,其他,C
首彩/handpicked,m,28,广东,深圳,A
华东/huadong,m,29,上海,浦东新区,C
木桐嘉棣/mouton cadet,m,31,河南,其他,B
香奈/j.p.chenet ,f,9999,其他,其他,A
音符/awjs,f,9999,海外,澳大利亚,B
菲斯奈特/freixenet,m,9999,其他,其他,C
拉图嘉利,f,9999,其他,其他,B
罗马假日,m,9999,其他,其他,D
纷赋/wolfblass,m,9999,香港,其他,B
佳得美庄园/chateau cantemerle,m,9999,其他,其他,B
贺兰山,m,9999,其他,其他,A
木桐嘉棣/mouton cadet,f,9999,广东,广州,B
卡思黛乐/castel,f,9999,其他,其他,B
长白山 ,m,9999,上海,普陀区,A
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
华东/huadong,m,9999,其他,其他,C
花思蝶/frescobaldi,f,19,湖南,长沙,B
贺兰山,m,9999,其他,其他,A
小龙船,f,9999,海南,海口,A
罗莎庄园,f,9999,广东,潮州,C
小龙船,m,9999,广东,江门,A
音符/awjs,m,9999,其他,其他,B
蒙大菲/robert mondavi,m,9999,北京,朝阳区,C
红魔鬼/casillero del diablo,m,9999,广东,广州,B
加州乐事,m,28,北京,昌平区,B
音符/awjs,m,9999,广东,其他,B
贺兰山,m,9999,其他,其他,A
贺兰山,m,9999,其他,其他,A
贺兰山,m,9999,其他,其他,A
卡思黛乐/castel,f,32,山东,济南,B
卡思黛乐/castel,m,9999,其他,其他,B
蒙大菲/robert mondavi,f,9999,广东,广州,C
香格里拉/shangri-la,f,31,浙江,舟山,A
卡思黛乐/castel,m,9999,其他,其他,B
小龙船,m,9999,其他,其他,A
奥兰,m,9999,其他,其他,A
贺兰山,m,9999,其他,其他,A
卡思黛乐/castel,f,9999,其他,其他,B
菲斯奈特/freixenet,m,9999,其他,其他,C
华东/huadong,f,9999,其他,其他,C
华东/huadong,f,9999,其他,其他,C
卡思黛乐/castel,m,9999,其他,其他,B
路易亚都世家/louis jadot ,f,9999,其他,其他,C
红魔鬼/casillero del diablo,f,9999,其他,其他,B
西施佳雅,m,9999,北京,朝阳区,A
卡思黛乐/castel,m,9999,其他,其他,B
君顶,m,9999,四川,成都,D
天鹅庄,m,9999,上海,普陀区,C
蒙大菲/robert mondavi,m,9999,福建,福州,C
西施佳雅,m,9999,广东,广州,A
君顶,m,42,香港,九龙城区,D
干露/concha y toro ,m,29,浙江,宁波,B
音符/awjs,f,9999,云南,昆明,B
天鹅庄,f,49,福建,厦门,C
红蔓庄园/tarapaca,m,9999,其他,其他,B
黄尾袋鼠/yellow tail,m,9999,其他,其他,B
卡思黛乐/castel,m,9999,其他,其他,B
卡思黛乐/castel,m,9999,其他,其他,B
卡思黛乐/castel,f,32,四川,成都,B
伊拉苏,f,9999,北京,朝阳区,A
路易拉菲/louis lafon ,m,9999,其他,其他,A
爱之湾/andimar ,f,9999,上海,闸北区,B
红魔鬼/casillero del diablo,m,9999,上海,静安区,B
莱茵黑森,f,9999,其他,其他,A
干露/concha y toro ,f,9999,其他,其他,B
紫轩,f,9999,北京,其他,C
蒙大菲/robert mondavi,f,9999,福建,福州,C
奔富蔻兰山/koonunga hill,m,9999,广东,东莞,C
红魔鬼/casillero del diablo,f,9999,北京,朝阳区,B
贺兰山,m,9999,其他,其他,A
尼雅/niya ,f,9999,广东,汕头,C
小龙船,m,55,河北,保定,A
蒙大菲/robert mondavi,f,9999,上海,虹口区,C
贺兰山,f,9999,广东,广州,A
长白山 ,f,9999,北京,其他,A
小龙船,m,39,云南,昆明,A
小龙船,m,9999,其他,其他,A
音符/awjs,m,9999,其他,其他,B
贺兰山,m,9999,其他,其他,A
酩悦/moet&amp;chandon,m,9,广东,汕头,A
卡思黛乐/castel,f,9999,其他,其他,B
华东/huadong,f,9999,山东,青岛,C
音符/awjs,m,9999,湖北,武汉,B
奔富蔻兰山/koonunga hill,f,9999,广东,江门,C
雅立/yali,m,9999,广东,韶关,A
通天,m,9999,北京,其他,B
华东/huadong,f,9999,其他,其他,C
红魔鬼/casillero del diablo,m,50,广东,广州,B
华东/huadong,f,9999,其他,其他,C
音符/awjs,m,9999,香港,其他,B
布朗兄弟酒庄/brown brothers,m,9999,其他,其他,A
菲斯奈特/freixenet,m,9999,其他,其他,C
红魔鬼/casillero del diablo,m,9999,其他,其他,B
长白山 ,m,9999,湖北,武汉,A
玛歌酒庄/chateau margaux,f,29,云南,昆明,B
云南红,m,9999,贵州,其他,A
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
红蔓庄园/tarapaca,m,9999,其他,其他,B
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
奔富蔻兰山/koonunga hill,f,9999,广东,江门,C
卡思黛乐/castel,m,9999,其他,其他,B
天鹅庄,m,9999,其他,其他,C
红魔鬼/casillero del diablo,m,9999,江苏,常州,B
音符/awjs,m,9999,其他,其他,B
狄士美庄园/chateau desmirail,m,9999,其他,其他,B
威龙/wilon,f,9999,广东,深圳,A
菲斯奈特/freixenet,f,9999,其他,其他,C
百特/beleden,f,9999,其他,其他,B
琴韵/melodiede l'accordeon,m,9999,其他,其他,C
集美,f,9999,北京,朝阳区,A
汉森/hansen,f,47,北京,东城区,A
奔富蔻兰山/koonunga hill,f,9999,广东,江门,C
葡乐/taller wine,f,9999,广东,深圳,A
汉森/hansen,m,9999,其他,其他,A
加州乐事,f,11,海外,美国,B
酩悦/moet&amp;chandon,m,9999,其他,其他,A
龙徽,m,9999,其他,其他,A
洛神山庄,f,9999,广东,江门,A
贺兰山,f,9999,其他,其他,A
菲斯奈特/freixenet,f,9999,其他,其他,C
集美,f,9999,其他,其他,A
红蔓庄园/tarapaca,m,9999,其他,其他,B
玛歌酒庄/chateau margaux,f,9999,其他,其他,B
黄尾袋鼠/yellow tail,m,9999,其他,其他,B
高斯达,f,26,广东,珠海,C
音符/awjs,f,9999,其他,其他,B
君顶,f,9999,北京,其他,D
tamaya,m,9999,海外,英国,C
小龙船,f,9999,广东,揭阳,A
红蔓庄园/tarapaca,m,9999,广东,潮州,B
玛歌酒庄/chateau margaux,m,9999,浙江,温州,B
西施佳雅,m,9999,浙江,温州,A
红魔鬼/casillero del diablo,f,9999,广东,肇庆,B
卡思黛乐/castel,m,9999,海外,澳大利亚,B
小红帽/rotkappchen ,f,4,其他,其他,A
首彩/handpicked,m,9999,海外,其他,A
蒙大菲/robert mondavi,f,9999,其他,其他,C
音符/awjs,m,9999,山东,青岛,B
名庄靓年,m,9999,其他,其他,A
爱嗨/iheart,f,9999,其他,其他,A
红蔓庄园/tarapaca,m,33,河北,保定,B
詹姆士酒庄,m,9999,广西,桂林,C
洛神山庄,f,9999,其他,其他,A
佳得美庄园/chateau cantemerle,f,9999,其他,其他,B
红魔鬼/casillero del diablo,m,10,广东,肇庆,B
红魔鬼/casillero del diablo,f,9999,广东,肇庆,B
名庄靓年,m,9999,其他,其他,A
名庄靓年,m,9999,其他,其他,A
名庄靓年,m,9999,其他,其他,A
红蔓庄园/tarapaca,m,9999,其他,其他,B
十字木桐,f,9999,其他,其他,A
黄尾袋鼠/yellow tail,m,29,北京,朝阳区,B
力士金,f,35,海外,其他,B
云南红,m,9999,云南,昆明,A
名庄靓年,m,9999,其他,其他,A
布朗兄弟酒庄/brown brothers,m,9999,其他,其他,A
小龙船,f,9999,广东,揭阳,A
红蔓庄园/tarapaca,m,33,河北,保定,B
天鹅庄,m,9999,江苏,徐州,C
名庄靓年,m,9999,其他,其他,A
香奈/j.p.chenet ,f,9999,其他,其他,A
怡园酒庄/grace vineyard,m,9999,福建,其他,A
罗莎庄园,f,29,北京,东城区,C
玛歌酒庄/chateau margaux,f,9999,广东,深圳,B
洛神山庄,m,9999,其他,其他,A
红魔鬼/casillero del diablo,m,9999,江苏,常州,B
洛神山庄,f,9999,其他,其他,A
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
红蔓庄园/tarapaca,m,33,河北,保定,B
路易亚都世家/louis jadot ,f,9999,其他,其他,C
dile,f,4,湖南,长沙,C
雅立/yali,f,9999,福建,福州,A
音符/awjs,f,42,上海,闵行区,B
音符/awjs,f,9999,其他,其他,B
华东/huadong,m,8,上海,宝山区,C
加州乐事,f,9999,北京,丰台区,B
卡思黛乐/castel,f,9999,其他,其他,B
贺兰山,f,9999,其他,其他,A
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
卡赛欧,m,26,广东,深圳,A
黄尾袋鼠/yellow tail,m,9999,其他,其他,B
黄尾袋鼠/yellow tail,m,9999,其他,其他,B
玛歌酒庄/chateau margaux,m,9999,北京,朝阳区,B
香奈/j.p.chenet ,f,9999,其他,其他,A
桃乐丝/torres,m,9999,台湾,台北市,A
红蔓庄园/tarapaca,m,9999,其他,其他,B
玛歌酒庄/chateau margaux,m,9999,其他,其他,B
龙徽,m,9999,其他,其他,A
君顶,f,35,澳门,其他,D
罗莎庄园,m,9999,广东,汕头,C
桃乐丝/torres,m,9999,台湾,台北市,A
香奈/j.p.chenet ,f,9999,其他,其他,A
奥兰,f,9999,其他,其他,A
贺兰山,m,9999,广东,广州,A
红蔓庄园/tarapaca,m,33,河北,保定,B
爱嗨/iheart,f,9999,其他,其他,A
奥斯曼/aosiman,m,9999,天津,和平区,C
音符/awjs,m,9999,其他,其他,B
玛歌酒庄/chateau margaux,f,33,广东,深圳,B
黄尾袋鼠/yellow tail,f,9999,山东,济南,B
贺兰山,m,9999,其他,其他,A
巴黎庄园/cmp,f,9999,其他,其他,C
龙徽,m,9999,北京,丰台区,A
黄尾袋鼠/yellow tail,m,9999,广东,东莞,B
威龙/wilon,f,28,浙江,宁波,A
西施佳雅,f,28,河南,郑州,A
十字木桐,m,9999,其他,其他,A
香奈/j.p.chenet ,m,9999,其他,其他,A
香奈/j.p.chenet ,m,9999,北京,海淀区,A
芙华/la fiole,m,37,江苏,苏州,C
威龙/wilon,f,9999,北京,其他,A
玛歌酒庄/chateau margaux,f,26,广东,东莞,B
罗莎庄园,m,35,广东,汕头,C
卡赛欧,f,9999,浙江,台州,A
卡赛欧,f,9999,浙江,台州,A
双掌,m,9999,其他,其他,C
华东/huadong,f,9999,其他,其他,C
莫高/mogao ,m,9999,湖南,其他,C
木桐嘉棣/mouton cadet,f,9999,海外,其他,B
威龙/wilon,m,9999,山东,济南,A
百特/beleden,m,9999,湖南,其他,B
音符/awjs,f,9999,广东,佛山,B
拉图嘉利,m,9999,广东,江门,B
黄尾袋鼠/yellow tail,m,9999,广东,深圳,B
音符/awjs,m,9999,广东,东莞,B
帝力,f,39,河南,信阳,A
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
华东/huadong,m,34,北京,东城区,C
巴黎庄园/cmp,f,9999,其他,其他,C
贝灵哲/beringer,f,9999,其他,其他,B
玛歌酒庄/chateau margaux,f,9999,其他,其他,B
集美,f,28,浙江,温州,A
玛歌酒庄/chateau margaux,m,9999,山西,临汾,B
干露/concha y toro ,m,9999,江苏,常州,B
新天/suntime,f,30,广东,潮州,C
威龙/wilon,m,26,广东,深圳,A
威龙/wilon,m,26,广东,深圳,A
布朗兄弟酒庄/brown brothers,m,9999,其他,其他,A
若诗庄园/rosemount,m,9999,其他,其他,B
君顶,f,9999,湖北,其他,D
华东/huadong,f,9999,其他,其他,C
卡思黛乐/castel,m,9999,浙江,温州,B
卡思黛乐/castel,m,9999,其他,其他,B
玛歌酒庄/chateau margaux,f,9999,其他,其他,B
君顶,m,31,广东,茂名,D
加州乐事,f,9999,其他,其他,B
集美,f,9999,北京,朝阳区,A
玛歌酒庄/chateau margaux,f,9999,四川,成都,B
君顶,m,27,山东,济南,D
君顶,m,27,山东,济南,D
卡思黛乐/castel,f,9999,广东,广州,B
汉森/hansen,m,9999,内蒙古,呼和浩特,A
酩悦/moet&amp;chandon,m,9,广东,汕头,A
卡思黛乐/castel,m,9999,其他,其他,B
音符/awjs,f,9999,其他,其他,B
华东/huadong,m,9999,其他,其他,C
威龙/wilon,f,33,香港,其他,A
酩悦/moet&amp;chandon,f,9999,广东,汕头,A
加州乐事,f,7,广东,东莞,B
小红帽/rotkappchen ,f,9999,其他,其他,A
云南红,m,9999,其他,其他,A
佳得美庄园/chateau cantemerle,m,9999,福建,其他,B
云南红,m,47,湖北,武汉,A
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
百特/beleden,f,9999,江苏,连云港,B
集美,f,29,福建,厦门,A
爱嗨/iheart,f,9999,其他,其他,A
华东/huadong,f,9999,其他,其他,C
君顶,f,9999,山东,淄博,D
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
路易拉菲/louis lafon ,f,31,陕西,咸阳,A
威龙/wilon,f,9999,其他,其他,A
路易亚都世家/louis jadot ,f,9999,其他,其他,C
驼铃/tuo ling,m,9999,湖南,其他,A
红蔓庄园/tarapaca,m,33,河北,保定,B
新天/suntime,m,9999,其他,其他,C
红蔓庄园/tarapaca,m,33,河北,保定,B
红蔓庄园/tarapaca,m,33,河北,保定,B
汉森/hansen,f,9999,广东,深圳,A
蓝仙姑,f,9999,北京,其他,B
黄尾袋鼠/yellow tail,m,9999,其他,其他,B
蓝仙姑,m,9999,其他,其他,B
华东/huadong,f,9999,其他,其他,C
西施佳雅,f,29,河南,郑州,A
紫轩,m,9999,河南,郑州,C
音符/awjs,f,9999,海外,法国,B
洛神山庄,f,6,广东,其他,A
小龙船,m,9999,其他,其他,A
酩悦/moet&amp;chandon,f,9999,广东,汕头,A
云南红,f,9999,其他,其他,A
华东/huadong,m,9999,广东,汕头,C
龙徽,f,29,陕西,榆林,A
酩悦/moet&amp;chandon,f,9999,其他,其他,A
集美,f,9999,其他,其他,A
龙徽,f,9999,北京,海淀区,A
龙徽,f,9999,北京,朝阳区,A
玛茜/rochemazet,m,9999,其他,其他,C
卡思黛乐/castel,m,58,广东,广州,B
华东/huadong,m,9999,其他,其他,C
音符/awjs,m,32,江西,宜春,B
爱嗨/iheart,f,9999,其他,其他,A
玛歌酒庄/chateau margaux,m,27,海外,其他,B
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
洛神山庄,m,9999,海外,其他,A
卡思黛乐/castel,m,9999,其他,其他,B
火烈鸟,m,22,浙江,其他,A
红蔓庄园/tarapaca,f,9999,其他,其他,B
天鹅庄,m,34,广东,其他,C
红魔鬼/casillero del diablo,f,27,宁夏,银川,B
双洋/two oceans,f,9999,江西,南昌,B
新天/suntime,m,11,海南,其他,C
汉森/hansen,m,9999,其他,其他,A
十字木桐,m,9999,福建,其他,A
龙徽,m,29,浙江,其他,A
木桐嘉棣/mouton cadet,f,9999,四川,成都,B
爱嗨/iheart,f,9999,江苏,南通,A
加州乐事,m,29,广东,广州,B
音符/awjs,m,9999,北京,其他,B
名庄靓年,m,9999,其他,其他,A
华东/huadong,f,9999,其他,其他,C
华东/huadong,f,9999,其他,其他,C
百特/beleden,f,9999,其他,其他,B
卡思黛乐/castel,f,9999,其他,其他,B
布朗兄弟酒庄/brown brothers,f,9999,海外,澳大利亚,A
作品一号/opus one,f,9999,海外,美国,A
小龙船,f,9999,其他,其他,A
法莱雅,m,9999,其他,其他,A
华东/huadong,f,9999,其他,其他,C
蒙大菲/robert mondavi,m,9999,其他,其他,C
黄尾袋鼠/yellow tail,m,9999,北京,朝阳区,B
华东/huadong,f,9999,其他,其他,C
紫轩,f,9999,其他,其他,C
小龙船,m,9999,其他,其他,A
红蔓庄园/tarapaca,f,9999,其他,其他,B
红蔓庄园/tarapaca,f,9999,其他,其他,B
红蔓庄园/tarapaca,f,9999,其他,其他,B
红蔓庄园/tarapaca,f,9999,其他,其他,B
华东/huadong,f,23,山东,济宁,C
红蔓庄园/tarapaca,m,33,河北,保定,B
杰卡斯/jacob’s creek,f,9999,广东,佛山,B
玛歌酒庄/chateau margaux,m,9999,山西,临汾,B
夏迪/hardys,m,9999,湖南,其他,A
集美,m,9999,福建,厦门,A
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
张裕/changyu ,m,9999,上海,闵行区,C
罗马假日,f,30,福建,福州,D
音符/awjs,m,9999,其他,其他,B
贺兰山,m,39,广东,广州,A
天鹅庄,m,9999,其他,其他,C
贺兰山,m,9999,广东,深圳,A
黄尾袋鼠/yellow tail,m,9999,其他,其他,B
路易拉菲/louis lafon ,f,9999,广东,其他,A
名庄靓年,m,9999,其他,其他,A
贺兰山,f,9999,其他,其他,A
力士金,f,9999,其他,其他,B
卡思黛乐/castel,f,9999,其他,其他,B
西夫拉姆/saflam,m,9999,其他,其他,A
五女山,f,30,辽宁,丹东,A
小红帽/rotkappchen ,f,6,海外,其他,A
狄士美庄园/chateau desmirail,m,9999,其他,其他,B
路易拉菲/louis lafon ,m,9999,浙江,杭州,A
爱之湾/andimar ,m,9999,浙江,杭州,B
小龙船,f,9999,广东,广州,A
长白山 ,f,9999,其他,其他,A
酩悦/moet&amp;chandon,f,9999,广东,肇庆,A
玛歌酒庄/chateau margaux,f,6,海外,韩国,B
名庄靓年,m,9999,其他,其他,A
名庄靓年,m,9999,其他,其他,A
长城/greatwall ,f,9999,香港,其他,C
音符/awjs,m,9999,湖南,长沙,B
名庄靓年,m,9999,广东,广州,A
卡思黛乐/castel,f,49,北京,朝阳区,B
酩悦/moet&amp;chandon,f,9999,其他,其他,A
罗莎庄园,f,9999,其他,其他,C
罗蒂/laudi,m,29,福建,南平,A
tamaya,f,36,河北,石家庄,C
小红帽/rotkappchen ,f,25,湖北,武汉,A
十字木桐,m,9999,上海,卢湾区,A
卡赛欧,m,52,江苏,无锡,A
爱嗨/iheart,f,9999,其他,其他,A
 姚明/yaoming,m,9999,广东,深圳,B
驼铃/tuo ling,m,9999,其他,其他,A
红蔓庄园/tarapaca,m,33,河北,保定,B
黄尾袋鼠/yellow tail,f,9999,其他,其他,B
罗马假日,f,9999,广东,中山,D
威龙/wilon,f,9999,上海,长宁区,A
蒙大菲/robert mondavi,m,9999,浙江,温州,C
蒙大菲/robert mondavi,m,9999,其他,其他,C
蒙大菲/robert mondavi,f,9999,其他,其他,C
银色高地,m,9999,北京,朝阳区,A
云南红,f,9999,其他,其他,A
名庄靓年,m,9999,其他,其他,A
卡赛欧,m,52,江苏,无锡,A
威龙/wilon,m,9999,其他,其他,A
洛神山庄,f,6,广东,广州,A
龙徽,m,9999,北京,其他,A
华东/huadong,f,9999,其他,其他,C
华东/huadong,f,9999,其他,其他,C
路易拉菲/louis lafon ,f,9999,陕西,咸阳,A
小龙船,f,9999,其他,其他,A
小龙船,f,9999,其他,其他,A
卡思黛乐/castel,f,9999,天津,河东区,B
卡赛欧,m,52,江苏,无锡,A
卡思黛乐/castel,f,31,海外,美国,B
